circRNA,disease,miRNA
hsa_circ_0003645,Breast cancer,unknown
hsa_circ_0003645,Hepatocellular carcinoma,unknown
hsa_circ_0003645,Non-small cell lung cancer,unknown
hsa_circ_0038374,Multiple system atrophy,unknown
hsa_circ_0038467,Pneumonia,unknown
hsa_circ_0037515,Non-small cell lung cancer,unknown
hsa_circ_0038632,Triple negative breast cancer,unknown
hsa_circ_0037516,Non-small cell lung cancer,unknown
hsa_circ_0038646,Colorectal cancer,unknown
hsa_circ_0000681/hsa_circ_001387,Pulmonary tuberculosis,"E-cadherin, N-cadherin, Vimentin, Slug"
hsa_circ_0038648,Essential hypertension,unknown
hsa_circ_0006847,Glioblastoma,unknown
hsa_circ_0105346,Colorectal cancer,unknown
hsa_circ_0105346,Osteosarcoma,unknown
hsa_circ_0000690,Lung cancer,unknown
hsa_circ_0039053,Hepatocellular carcinoma,unknown
hsa_circ_0006127,Gastric cancer,unknown
hsa_circRNA_001729,Thyroid cancer,unknown
hsa_circ_0006719,Scoliosis,unknown
hsa_circ_0039151,Renal cell carcinoma,unknown
hsa_circ_0039161,Lung cancer,unknown
hsa_circ_0007059,Postmenopausal osteoporosis,unknown
hsa_circ_0007059,Lung cancer,unknown
hsa_circ_0007059,Oral squamous cell carcinoma,unknown
hsa_circ_0037655,Glioblastoma,unknown
hsa_circ_0037658,Osteoarthritis,unknown
hsa_circ_0000662,Pancreatic cancer,unknown
hsa_circ_0005692,Osteoporosis,unknown
hsa_circ_0005692,Hepatocellular carcinoma,unknown
hsa_circ_0007788,Postmenopausal Osteoporosis,unknown
hsa_circ_0008558,Colorectal cancer,unknown
hsa_circ_0008558,Oral mucosal melanoma,unknown
hsa_circ_0037751,Glioblastoma,unknown
hsa_circ_0007146,Multiple myeloma,unknown
hsa_circ_0000700/hsa_circRNA_001937,Esophageal cancer,unknown
hsa_circ_0000700/hsa_circRNA_001937,Tuberculosis,"hsa-miR-18b-3p, hsa-miR-670-5p, hsa-miR-23a-5p, hsa-miR-125a-3p, hsa-miR-125b-5p"
chr16:53175091-53191453,Ovarian cancer,unknown
hsa_circ_0039388,Essential hypertension,unknown
hsa_circ_0005941,Proliferative diabetic retinopathy,unknown
hsa_circ_0039411,Hepatocellular carcinoma,unknown
hsa_circ_0039411,Papillary thyroid carcinoma,unknown
hsa_circ_0039457,Acute ischemic stroke,unknown
hsa_circ_0039569,Renal cell carcinoma,unknown
hsa_circ_0039569,Endometrial cancer,unknown
hsa_circ_0008450,Liver cancer,unknown
hsa_circ_0008450,Nasopharyngeal carcinoma,unknown
hsa_circ_0000707,Chronic lymphocytic leukemia,unknown
NFATC3,Epithelial ovarian cancer,"hsa-miR-450b-5p, hsa-miR-205-3p, hsa-miR-103a-2-5p, hsa-miR-95-5p, hsa-miR-329-5p"
hsa_circ_0005615,Cervical cancer,unknown
hsa_circ_0005615,Tongue squamous cell carcinoma,unknown
hsa_circ_0000711,Colorectal cancer,unknown
hsa_circRNA_101836,Schizophrenia,unknown
hsa_circ_0039943,Prostate cancer,miR-143
hsa_circ_0039985,Uterine leiomyoma,unknown
hsa_circ_0040039,Intervertebral disc degeneration,unknown
hsa_circ_0040039,Gastric cancer,unknown
hsa_circ_0040060,Intervertebral disk degeneration,unknown
hsa_circ_0040081,Hepatoblastoma,unknown
hsa_circ_0040103,Proliferative vitreoretinopathy,unknown
hsa_circ_0000714,Ovarian cancer,unknown
hsa_circ_0040414,Heart failure,unknown
hsa_circRNA_101873,Rheumatoid arthritis,"miR-637, miR-762, miR-301a-5p, miR-518c-5p, miR-384"
hsa_circ_0004519,Esophageal cancer,"miR-222*, miR-214"
hsa_circ_0037251,Glioblastoma,unknown
hsa_circ_0040705,Systemic lupus erythematosus,unknown
hsa_circ_0000722,Cervical cancer,unknown
hsa_circ_0040805,Colon cancer,unknown
hsa_circ_0040809,Hypertension,unknown
hsa_circ_0040823,Bladder cancer,unknown
hsa_circ_0040824,Inflammatory response,unknown
hsa_circ_0040865,Renal cell carcinoma,unknown
hsa_circ_0040994,Sepsis,unknown
hsa_circ_0041103,Bladder cancer,unknown
hsa_circ_0041103,Osteosarcoma,unknown
hsa_circ_0041124,Papillary thyroid carcinoma,unknown
hsa_circ_0000670,Gastric cancer,unknown
hsa_circ_045179,Tongue squamous cell carcinoma,unknown
hsa_circ_0005603,Glioblastoma,unknown
hsa_circ_0007456,Hepatocellular carcinoma,unknown
hsa_circ_0041150,Pancreatic cancer,unknown
hsa_circ_0000732/hsa_circ_000220,Breast cancer,unknown
hsa_circ_0004018,Liver fibrosis,unknown
hsa_circ_0042261,Esophageal cancer,unknown
hsa_circ_0000745/hsa_circ_000013,Cervical cancer,unknown
hsa_circ_0000745/hsa_circ_000013,Gastric cancer,unknown
hsa_circ_000013,Ovarian cancer,unknown
SPECC1a,Epithelial ovarian cancer,"miR-145, E2F5, BAG4, FMNL2"
hsa_circ_0003505,Papillary thyroid carcinoma,miR-630
hsa_circ_0042666,Laryngeal cancer,unknown
hsa_circ_0003928,Diabetic nephropathy,unknown
hsa_circ_0003586,Glioblastoma,unknown
hsa_circ_0005397,Hepatocellular carcinoma,unknown
hsa_circ_0005397,Pancreatic cancer,unknown
hsa_circ_0043138,Infantile hemangioma,unknown
hsa_circ_0043138,Tongue squamous cell carcinoma,unknown
hsa_circ_0043144,Proliferative vitreoretinopathy,unknown
hsa_circ_0043145,Proliferative vitreoretinopathy,unknown
hsa_circ_0043256,Non-small cell lung cancer,unknown
hsa_circ_0043265,Non-small cell lung cancer,unknown
hsa_circ_0043278,Osteosarcoma,unknown
hsa_circ_0043278,Breast cancer,"miR-103a-2-5p, miR-302b-3p, miR-302c-3p, miR-455-3p, , miR-520d-3p"
hsa_circ_0043278,Glioblastoma,unknown
hsa_circ_0043278,Non-small cell lung cancer,unknown
hsa_circ_0043278,Pancreatic cancer,unknown
hsa_circ_0106714,Colorectal cancer,unknown
circTHBS1,Non-small cell lung cancer,unknown
hsa_circ_0006220,Pancreatic cancer,unknown
hsa_circ_0006220,Breast cancer,unknown
hsa_circ_0106800,Breast cancer,unknown
hsa_circ_0106800,Cervical cancer,unknown
hsa_circ_0007766,Gastric cancer,unknown
hsa_circ_0007766,Lung cancer,unknown
hsa_circ_0043469,Adrenocortical carcinoma,unknown
hsa_circ_0000735,Bladder cancer,unknown
hsa_circ_0000735,Non-small cell lung cancer,unknown
hsa_circ_0000735,Prostate cancer,unknown
hsa_circ_0106803,Multiple sclerosis,unknown
hsa_circ_0043497,Tuberculosis,"miR-335-3p, miR-186-5p, miR-380-5p, miR-296-3p, miR-522-3p"
hsa_circ_0043532,Polycystic ovary syndrome,unknown
hsa_circ_0043533,Polycystic ovary syndrome,unknown
hsa_circ_0043534,Hepatoblastoma,unknown
hsa_circ_0043548,Glioblastoma,unknown
hsa-circRNA_2149,Colorectal cancer,unknown
hsa_circ_0043579,Uterine leiomyoma,unknown
hsa_circ_0043603,Esophageal cancer,unknown
hsa_circ_0043632,Non-small cell lung cancer,"hsa-miR-6861-3p, hsa-miR-492, hsa-miR-4743-5p, hsa-miR-6829-3p, , hsa-miR-6778-3p"
hsa_circ_0043634,Non-small cell lung cancer,"hsa-miR-4483, hsa-miR-1293, hsa-miR-6861-3p, hsa-miR-4530, hsa-miR-492"
hsa_circ_0043688,Keloid,unknown
hsa_circ_0043800,Hepatoblastoma,unknown
hsa_circ_0043813,Multiple sclerosis,unknown
hsa_circ_0043813,Postmenopausal osteoporosis,unknown
hsa_circ_0043898,Esophageal cancer,unknown
hsa_circ_0043949,Glioblastoma,"hsa-miR-7161-3p, hsa-miR-6783-3p, hsa-miR-1257, hsa-miR-140-3p, hsa-miR-5195-3p"
hsa_circ_0043951,Papillary thyroid carcinoma,unknown
hsa_circ_0044073,Atherosclerosis,unknown
hsa_circ_0000775,Alzheimer's disease,unknown
hsa_circ_0044226,Idiopathic pulmonary fibrosis,hsa_miR-532-5p
hsa_circRNA_102101,Schizophrenia,unknown
hsa_circRNA_102101,Tuberculosis,unknown
hsa_circ_0044235,Systemic lupus erythematosus,unknown
hsa_circ_0002007,Breast cancer,unknown
hsa_circ_0044353,Repeated implantation failure,unknown
hsa_circ_0003258,Hepatocellular carcinoma,unknown
hsa_circ_0003258,Intervertebral disc degeneration,unknown
hsa_circ_0003258,Pneumonia,unknown
hsa_circ_0003258,Infantile hemangioma,unknown
hsa_circ_0003258,Papillary thyroid microcarcinoma,"hsa-miR-520d-3p, hsa-miR-500a-5p, hsa-miR-518c-3p, hsa-miR-103a-2-5p, hsa-miR-518f-3p"
hsa_circ_0000737,Hepatocellular carcinoma,unknown
hsa_circ_0044516,Prostate cancer,unknown
hsa_circ_0044516,Gastric cancer,unknown
hsa_circ_0044519,Laryngeal cancer,unknown
hsa_circ_0044520,Laryngeal cancer,hsa-miR-4726-5p
hsa_circ_0044529,Laryngeal cancer,hsa-miR-4640-5p
hsa_circ_0044556,Breast cancer,"miR-1252, ITCH"
hsa_circ_0044556,Colorectal cancer,unknown
hsa_circ_0044556,Gastric cancer,unknown
17_50189167_50194626_-,Hypertrophic scar,miR-338-3p
17_50189167_50198002_-,Hypertrophic scar,miR-338-3p
17_50189858_50195330_-,Hypertrophic scar,miR-338-3p
17_50190326_50194041_-,Hypertrophic scar,unknown
hsa_circ_0000740,Clear cell renal cell carcinoma,unknown
hsa_circRNA_101965,Cholesteatoma,unknown
hsa_circRNA_101965,Ventricular septal defect,unknown
hsa_circ_0044722,Intervertebral disc degeneration,unknown
hsa_circ_0000792,Lung cancer,miR-375
circBRIP,Breast cancer,unknown
circMED13,Breast cancer,unknown
hsa_circ_0007534,Pancreatic cancer,unknown
hsa_circ_0007534,Breast cancer,unknown
hsa_circ_0007534,Cervical cancer,unknown
hsa_circ_0007534,Colorectal cancer,unknown
hsa_circ_0007534,"Glioblastoma,Non small cell Lung Cancer",unknown
hsa_circ_0007534,Osteosarcoma,unknown
hsa_circ_0045272,Systemic lupus erythematosus,unknown
hsa_circ_0004913,Hepatocellular carcinoma,unknown
hsa_circ_0041731,Hepatoblastoma,unknown
hsa_circ_0041732,Gastric cancer,unknown
circRNASMURF2,PDLSC osteogenis,unknown
hsa_circ_0007580,Non-small cell lung cancer,unknown
hsa_circ_0000798,Hepatocellular carcinoma,unknown
hsa_circ_0000799,Bladder cancer,unknown
hsa_circ_001730,Pterygium,unknown
hsa_circ_0045510,Hepatoblastoma,unknown
hsa_circ_0041795,Diabetic retinopathy,unknown
hsa_circ_0041796,Diabetes retinopathy,unknown
hsa_circ_0045602,Gastric cancer,"miR-1248, miR-375"
hsa_circ_0045714,Osteoarthritis,"hsa-miR-4295, hsa-miR-130a-3p, hsa-miR-148b-3p"
hsa_circ_0005320,Triple negative breast cancer,unknown
hsa_circ_0005320,Oral squamous cell carcinoma,unknown
hsa_circ_0041946,Intervertebral disc degeneration,unknown
hsa_circ_0045881,Acute kidney injury,unknown
hsa_circ_0008410,Rheumatoid arthritis,unknown
hsa_circ_0003204,Atherosclerosis,miR-98-5p
hsa_circ_0003204,Cervical cancer,unknown
hsa_circ_0005389,Chronic hepatitis B,unknown
hsa_circ_0046159,Pulmonary hypertension,unknown
hsa_circ_0046263,Non-small cell lung cancer,unknown
hsa_circ_0046263,Nasopharyngeal carcinoma,unknown
hsa_circ_0046264,Lung cancer,unknown
hsa_circ_0046367,Hepatic steatosis,unknown
hsa_circ_0046366,Hepatic steatosis,unknown
hsa_circ_0046449/hsa_circRNA_102246,Basal cell carcinoma,unknown
hsa_circ_0046600,Hepatocellular carcinoma,unknown
hsa_circ_0046599,Systemic lupus erythematosus,unknown
chr18:107887-108499,Glioblastoma,unknown
hsa_circ_0000831/hsa_circ_001089,Glioblastoma,unknown
hsa_circ_0006733,Oral mucosal melanoma,unknown
hsa_circ_0000835,Nonfunctioning pituitary adenomas,unknown
hsa_circ_0000839,Hepatocellular carcinoma,unknown
hsa_circ_0047285,Alzheimer's disease,unknown
circRNA3703,Esophageal cancer,unknown
circRNA3706,Esophageal cancer,unknown
circRNA3707,Esophageal cancer,unknown
hsa-circRNA11783-2,Coronary artery disease,unknown
hsa-circRNA11783-2,Type2 diabetes mellitus,unknown
hsa_circ_0108308,Multiple system atrophy,unknown
hsa_circ_003785,Premature ovarian insufficiency,unknown
hsa_circ_0007535,Idiopathic pulmonary fibrosis,unknown
chr18:35610871-35613502,Intestinal injury and repair,unknown
hsa_circ_0003694,Systemic lupus erythematosus,unknown
hsa_circ_0000847,Hepatocellular carcinoma,unknown
hsa_circ_0000847,Gastric cancer,unknown
circ_SMAD7,Esophageal cancer,unknown
hsa_circ_0000848,Fetal growth restriction,unknown
hsa_circ_0007006,Colorectal cancer,unknown
hsa-circRNA11806-28,Type2 diabetes mellitus,unknown
hsa_circ_0047688,Glioblastoma,unknown
hsa_circ_0047718,Gastric cancer,unknown
hsa_circ_0005525,Thoracic aortic dissection,unknown
hsa_circ_0000853,Oral mucosal melanoma,unknown
hsa_circ_0047814,Diabetic retinopathy,unknown
hsa_circ_0047905,Gastric cancer,unknown
hsa_circ_0046674,Uterine leiomyoma,unknown
hsa_circ_0047924,Uveal melanoma,"hsa-miR-204-3p, hsa-miR-22-5p, hsa-miR-338-3p"
hsa_circRNA_7070,Breast cancer,unknown
hsa_circ_0046701,Glioblastoma,unknown
hsa_circ_0002485,Osteoarthritis,miR340
hsa_circ_0007144,Hepatocellular carcinoma,unknown
hsa_circ_0000825,Prostate cancer,unknown
hsa_circ_0108942,Breast cancer,unknown
hsa_circ_0000826,Colorectal cancer,unknown
hsa_circ_0005158,Heart failure,unknown
hsa_circ_0006990,Breast cancer,unknown
hsa_circ_0006990,Colorectal cancer,unknown
hsa_circ_0006990,Gastric cancer,unknown
hsa_circ_0006990,Non-small cell lung cancer,unknown
hsa_circRNA_102556,Lung cancer,"hsa-miR-764, hsa-miR-346, hsa-miR-584-3p, hsa-miR-654-3p, hsa-miR-766-5p"
hsa_circRNA_102534,Moyamoya disease,unknown
circRNA8840,Preeclampsia,"hsa-miR-198, hsa-miR-3154, hsa-miR-518c-5p"
hsa_circRNA_102439,Breast cancer,unknown
hsa_circ_0049220,Systemic lupus erythematosus,unknown
hsa_circ_0049224,Systemic lupus erythematosus,unknown
hsa_circ_0005360,Abdominal aortic aneurysm,unknown
hsa_circ_0049487,Colorectal cancer,unknown
hsa_circ_0109046,Endometrial cancer,unknown
hsa_circ_0048211,Postmenopausal osteoporosis,unknown
hsa_circ_0000893/hsa_circ_000261,Breast cancer,unknown
hsa_circ_0049613,Hepatocellular carcinoma,unknown
hsa_circ_0000896,Bladder cancer,unknown
hsa_circ_0000896,Non-small cell lung cancer,"miR-330-5p, miR-326"
hsa_circ_0000896,Pancreatic cancer,unknown
hsa_circ_0049658,Glioblastoma,unknown
hsa_circ_0049657,Acute myeloid leukemia,unknown
hsa_circ_0049663,Renal cell carcinoma,unknown
hsa_circ_0048232,Colorectal cancer,unknown
hsa_circ_0049730,Nonfunctioning pituitary adenomas,unknown
hsa_circ_0049730,Preeclampsia,unknown
hsa_circ_0109177,Breast cancer,unknown
circRNA9777,Esophageal cancer,unknown
chr19:16705875-16710941,Intestinal injury and repair,miR-130a-3p
hsa_circ_0000907,Breast cancer,unknown
hsa_circ_0000911,Breast cancer,unknown
hsa_circ_0005571,Intracranial aneurysm,"hsa-miR-371a-5p, hsa-miR-483-3p, hsa-miR-532-3p, hsa-miR-33b-5p, hsa-miR-216a-3p"
hsa_circ_24455,Glioblastoma,"miR-26b-3p, miR-125a-3p, miR-181a-3p, miR-330-5p, miR-382-5p"
hsa_circRNA_102488,Stroke,unknown
hsa_circ_0006804,Influenza A virus infection,unknown
hsa_circ_0048301,Colon cancer,unknown
hsa_circ_0109291,Oral squamous cell carcinoma,unknown
hsa_circ_0109320,Non-small cell lung cancer,unknown
hsa_circ_0000869,Oral mucosal melanoma,"miR-1268a, miR-1268b, miR-566, miR-1273h-5p, miR-1273g-3p"
hsa_circRNA_14623,Pulmonary tuberculosis,"miR-765, miR-30b-3p, miR-876-3p, miR-26b-3p, miR-196b-5p"
hsa_circ_0008287,Hypopharyngeal carcinoma,hsa‑miR‑548c‑3p
hsa_circ_0002018,Breast cancer,unknown
hsa_circ_0006054,Breast cancer,unknown
hsa_circ_0050547,Gastric cancer,unknown
hsa_circ_102533,Leukoaraiosis,"miR-877-3p, miR-876-5p, miR-181b-2-3p, miR-181b-3p, miR-627-3p"
hsa_circ_0050581,Non-small cell lung cancer,"hsa-miR-6722-5p, hsa-miR-4641, hsa-miR-4707-3p, hsa-miR-4258, hsa-miR-652-3p"
hsa_circ_0092303,Gastric cancer,unknown
hsa_circ_0050707,Papillary thyroid carcinoma,unknown
circZNF566,Hepatocellular carcinoma,unknown
hsa_circ_0050898,Moyamoya disease,unknown
hsa_circ_0048559,Epithelial ovarian cancer,unknown
hsa_circ_0051079,Osteosarcoma,unknown
hsa_circ_0008719,Pancreatic cancer,unknown
hsa_circ_0000936,Bladder cancer,unknown
hsa_circ_0000936,Gastric cancer,unknown
hsa_circ_0000936,Glioblastoma,unknown
hsa_circ_0002945,Alzheimer's disease,unknown
hsa_circ_0051172,Coronary artery disease,unknown
hsa_circ_0002837,Tongue squamous cell carcinoma,unknown
hsa_circ_0051239,Infantile hemangioma,unknown
hsa_circ_0051239,Papillary thyroid microcarcinoma,"hsa-miR-6867-5p, hsa-miR-574-5p, hsa-miR-6799-5p, hsa-miR-3162-5p, hsa-miR-4739"
hsa_circ_0051240,Ovarian cancer,unknown
chr19:42562552-42564341,Intestinal injury and repair,unknown
hsa_circ_0048607,Gastric cancer,unknown
hsa_circ_0003090,Systemic lupus erythematosus,unknown
hsa_circ_0006240,Glioblastoma,unknown
hsa_circ_0051398,Renal cell carcinoma,unknown
hsa_circ_0051443,Hepatocellular carcinoma,unknown
hsa_circ_0051470,Intervertebral disc degeneration,unknown
hsa_circ_0008615,Systemic lupus erythematosus,unknown
hsa_circ_0092316,Inflammatory response,unknown
hsa_circ_0004507,Laryngeal cancer,unknown
hsa_circ_0000944,Gastric cancer,unknown
hsa_circ_0003146,Systemic lupus erythematosus,mir-582-3p
hsa_circ_0051778,Parathyroid adenoma,unknown
hsa_circ_0048677,Hepatocellular carcinoma,unknown
hsa_circ_0002185,Oral squamous cell carcinoma,miR-526b-5p
hsa_circ_0005317,Colorectal cancer,unknown
hsa_circ_0006461,Hepatocellular carcinoma,unknown
hsa_circ_0006461,Renal cell carcinoma,unknown
hsa_circ_0052012,Rheumatoid arthritis,unknown
hsa_circ_0007623,Myocardial ischemia,unknown
hsa_circ_0052112,Breast cancer,unknown
hsa_circ_23587,Glioblastoma,unknown
chr19:5761476-5761630,Glioblastoma,unknown
hsa_circ_0109952,Glioblastoma,unknown
circRNA3594,Esophageal cancer,unknown
hsa_circ_0052372,Primary Biliary Cholangitis,unknown
hsa_circ_0004594,Gastric cancer,unknown
hsa_circ_0048856,Non-small cell lung cancer,"hsa-miR-4279, hsa-miR-221-5p, hsa-miR-8073, hsa-miR-1256, hsa-miR-4691-5p"
hsa_circ_0002130,Non-small cell lung cancer,unknown
hsa_circ_0002130,Pancreatic cancer,unknown
hsa_circ_0000885,Osteosarcoma,unknown
hsa_circ_0049027,Gastric cancer,unknown
hsa_circ_0049055,Papillary thyroid carcinoma,unknown
hsa_circ_0049116,Epithelial ovarian cancer,unknown
hsa_circ_0110102,Hepatocellular carcinoma,unknown
hsa_circRNA_102713,Gastric cancer,unknown
hsa_circRNA_004121,Hepatic steatosis,unknown
circRNA10271,Preeclampsia,"hsa-miR-4255, hsa-miR-4261"
hsa_circ_004121,Hepatic steatosis,unknown
hsa_circ_0000976,Hepatocellular carcinoma,unknown
circ_20403,Osteosarcoma,unknown
CircNOL10,Breast cancer,unknown
hsa_circ_0000977/hsa_circ_001918,Colorectal cancer,unknown
hsa_circ_0000977/hsa_circ_001918,Lung cancer,unknown
hsa_circ_0000977/hsa_circ_001918,Pancreatic cancer,unknown
hsa_circ_0056048,Major depressive disorder,unknown
hsa_circ_0001062,Primary Sjogren's Syndrome,unknown
hsa_circ_0001062,Oral mucosal melanoma,unknown
hsa_circ_0056159,Pterygium,unknown
hsa_circ_0056285,Osteosarcoma,unknown
hsa_circ_0056285,Intracranial aneurysm,"hsa-miR-708-5p, hsa-miR-28-5p, hsa-miR-539-3p"
cir-GLI2/hsa_circ_0056288,Osteosarcoma,unknown
circ_TFCP2L1,Triple negative breast cancer,unknown
hsa_circ_0003789,Gastric cancer,unknown
hsa_circ_0003192,Oral mucosal melanoma,unknown
hsa_circRNA_003524,Rheumatoid arthritis,"miR-627-3p, miR-143-5p, miR-656-3p, miR-376a-5p, miR-222-5p"
hsa_circ_12253,Glioblastoma,unknown
hsa_circRNA_0056616,Lung cancer,unknown
hsa_circ_0001073,Acne,unknown
hsa_circ_0001073,Bladder cancer,unknown
hsa_circ_0001073,Lung cancer,unknown
hsa_circ_0001074,Hepatocellular carcinoma,unknown
hsa_circ_0004491,Oral squamous cell carcinoma,unknown
hsa_circ_0056686,Uterine leiomyoma,unknown
hsa_circRNA_024892,Multiple sclerosis,unknown
hsa_circ_0005556,Gastric cancer,unknown
circRNA7534,Esophageal cancer,unknown
circRNA7535,Esophageal cancer,unknown
circRNA7536,Esophageal cancer,unknown
circRNA7537,Esophageal cancer,unknown
hsa_circ_0056836,Hepatocellular carcinoma,unknown
hsa_circ_0005280,Age-related cataract,unknown
hsa_circ_0003279,Hypopharyngeal carcinoma,unknown
hsa_circ_0005882,Pancreatic cancer,unknown
hsa_circ_0004442,Renal cell carcinoma,unknown
hsa_circ_0057041,Oral mucosal melanoma,unknown
hsa_circ_0057093,Diabetes retinopathy,unknown
hsa_circ_0057104,Gastric cancer,unknown
circOLA,Breast cancer,unknown
hsa_circ_0004062,Lung cancer,unknown
hsa_circRNA_11017,Rheumatic heart disease,unknown
hsa_circRNA_11058,Rheumatic heart disease,unknown
hsa_circRNA_11109,Rheumatic heart disease,unknown
cTTN5,Heart failure,unknown
cTTN2,Heart failure,unknown
cTTN1,Heart failure,unknown
cTTN4,Heart failure,unknown
hsa_circ_0057336,Hepatoblastoma,unknown
hsa_circ_0057340,Osteoporosis,unknown
hsa_circ_0057342,Keloid,unknown
hsa_circ_0057421,Osteoarthritis,unknown
hsa_circ_0057452,Keloid,unknown
hsa_circ_001587,Pancreatic cancer,unknown
hsa_circ_0057481,Laryngeal cancer,unknown
hsa_circ_0002024,Bladder cancer,unknown
hsa_circ_0057518,Osteosarcoma,unknown
hsa_circ_0006662,Pancreatic cancer,unknown
hsa_circ_0001085,Prostate cancer,unknown
hsa_circ_0057553,Prostate cancer,unknown
hsa_circ_0057558,Prostate cancer,miR-6884
hsa_circ_0057576,Coronary artery disease,unknown
hsa_circ_0006571,Lung cancer,unknown
hsa_circ_0006571,Uterine leiomyoma,unknown
hsa_circ_0008928,Non-small cell lung cancer,unknown
hsa_circ_0003915,Coronary heart disease,unknown
hsa_circ_0006101,Osteosarcoma,unknown
hsa_circ_0057762,Systemic lupus erythematosus,unknown
hsa_circ_0000981/hsa_circ_001506,Breast cancer,unknown
hsa_circ_0057799,Endometriosis,unknown
hsa_circRNA_0003218,Breast cancer,unknown
hsa_circ_0008172,Osteoarthritis,unknown
hsa_circ_0001095,Ovarian cancer,unknown
hsa_circ_0002271,Thoracic aortic dissection,unknown
hsa_circ_0002617,Hypopharyngeal carcinoma,unknown
circRNA7673,Esophageal cancer,unknown
circRNA7674,Esophageal cancer,unknown
circRNA7675,Esophageal cancer,unknown
circRNA7676,Esophageal cancer,unknown
circRNA7679,Esophageal cancer,unknown
hsa_circ_0001098,Breast cancer,unknown
hsa_circ_0058058,Esophageal cancer,unknown
hsa_circ_0058058,Acute myeloid leukemia,unknown
hsa_circ_0058058,Non-obstructive azoospermia,unknown
hsa_circ_0058063,Bladder cancer,unknown
hsa_circ_0058092,Gastric cancer,unknown
hsa_circ_0058097,Parathyroid adenoma,unknown
hsa_circ_0058097,Endplate cartilage degeneration,unknown
hsa_circ_0058097,Gastric cancer,unknown
hsa_circ_0058106,Hypopharyngeal carcinoma,"miR-185-3p, miR-4638-3p"
hsa_circ_0058124,Papillary thyroid carcinoma,unknown
hsa_circ_0058147,Gastric cancer,unknown
hsa_circ_0006774,Glioblastoma,unknown
hsa_circ_0058230,Gastric cancer,unknown
hsa_circ_0058246,Gastric cancer,unknown
hsa_circ_0058357,Non-small cell lung cancer,unknown
hsa_circ_0008365,Gastric cancer,unknown
hsa_circ_0008365,Osteoarthritis,"miR-1271-5p, miR-495"
hsa_circ_0001103,Osteoarthritis,unknown
hsa_circ_0008309,Gastric cancer,unknown
hsa_circ_0008309,Oral squamous cell carcinoma,"miR-136-5P, miR-382-5P"
hsa_circ_0058514,Cervical cancer,unknown
hsa_circ_0058514,Non-small cell lung cancer,unknown
hsa_circ_0058514,Triple negative breast cancer,unknown
hsa_circ_0001105,Osteosarcoma,unknown
hsa_circ_0003922,Lupus nephritis,unknown
hsa_circ_0058766,Gastric cancer,unknown
hsa_circ_0058792,Clear cell renal cell carcinoma,unknown
hsa_circ_0006401,Gastric cancer,unknown
hsa_circ_0058819,Gastric cancer,unknown
hsa_circ_0058830,Gastric cancer,unknown
hsa_circ_0058919,Steroid-induced osteonecrosis of the femoral head,unknown
circRNA4882,Lung cancer,unknown
hsa_circ_0053277,Colorectal cancer,unknown
hsa_circ_0007385,Non-small cell lung cancer,"miR-181, miR-519d-3p"
hsa_circ_0053743,Facet joint osteoarthritis,unknown
hsa_circ_0003288,Hepatocellular carcinoma,"miR-3918, miR-145"
hsa_circ_0003288,Non-small cell lung cancer,unknown
hsa_circ_0053772,Renal cell carcinoma,unknown
hsa_circ_0053919,Heart failure,unknown
hsa_circ_0119872,Uveal melanoma,unknown
hsa_circ_0119873,Uveal melanoma,"hsa-miR-92a-3p, hsa-miR-193a-5p, hsa-miR-204-3p"
hsa_circ_0006294,Hepatocellular carcinoma,unknown
hsa_circ_0002346,Lung cancer,unknown
hsa_circ_0002346,Nasopharyngeal carcinoma,unknown
hsa_circ_0005442,Preeclampsia,unknown
hsa_circ_0007386,Cervical cancer,unknown
hsa_circ_0007386,Thoracic aortic dissection,unknown
hsa_circ_0000993,Gastric cancer,unknown
circRNA4406,Lung cancer,mir-582-5p
hsa_circ_0054211,Multiple system atrophy,unknown
hsa_circ_0000994,Bladder cancer,unknown
hsa_circ_10435,Glioblastoma,unknown
hsa_circ_0000994,Nonfunctioning pituitary adenomas,unknown
hsa_circ_0054345,Radiation-induced liver fibrosis,unknown
hsa_circ_0004916,Prostate cancer,unknown
hsa_circ_0001001,Hepatocellular carcinoma,unknown
hsa_circ_0003959,Retinoblastoma,unknown
hsa_circ_0054537,Coronary artery disease,unknown
hsa_circ_0054537,Renal cell carcinoma,unknown
hsa_circ_0005779,Glioblastoma,unknown
hsa_circ_0001006,Breast cancer,unknown
circRTN4,Colon cancer,unknown
hsa_circ_0054633,Acute lung injury,unknown
hsa_circ_0054633,Gestational diabetes mellitus,unknown
hsa_circ_0054633,Type2 diabetes mellitus,unknown
hsa_circ_0054652,Intervertebral disc degeneration,"miR-7160-5p, miR-642b-3p, miR-642a-3p, miR-514a-3p, , miR-514b-3p"
hsa_circ_0054657,Intervertebral disc degeneration,"miR-4527, miR-6503-5p, miR-6795-3p, miR-1249-5p, miR-210-3p"
hsa_circ_0054659,Intervertebral disc degeneration,"miR-6797-5p, miR-656-5p, miR-1249-5p, miR-6515-5p, miR-8064"
hsa_circ_0054660,Intervertebral disc degeneration,"miR-656-5p, miR-8064, miR-6893-3p, miR-370-3p, miR-3692-5p"
hsa_circ_0054660,Uterine leiomyoma,unknown
hsa_circ_0005577,Bronchopulmonary dysplasia,unknown
hsa_circ_0001009,Glioblastoma,unknown
