circRNA,disease
cTTN5,Heart failure
hsa_circ_0087293,Hepatocellular carcinoma
hsa_circ_0000442,Breast cancer
hsa_circ_0061265,Bladder cancer
CircMTO1,Osteosarcoma
hsa_circ_0003707,gastric cancer
hsa_circ_0036287,Gastric cancer
hsa_circ_009755,Oral squamous cell carcinoma
hsa_circ_0001187/hsa_circ_000341/hsa_circ_0008078,Acute myeloid leukemia
hsa_circ_0012721,Coronary heart disease
hsa_circ_0001821,Gastric cancer
hsa_circ_000122,Lung squamous cell carcinoma
hsa_circ_0017515,Hepatoblastoma
hsa_circ_0004846,Osteosarcoma
hsa_circ_0006633,Gastric cancer
circ_0005273,Papillary thyroid carcinoma
hsa_circ_0000677/hsa_circ_001569/circABCC,Hepatocellular carcinoma
cDENND4C,hypoxia
hsa_circRNA_105039,Congenital heart disease
hsa_circ_0098619,Glioma
hsa_circ_100085,Glioblastoma
hsa_circ_0006716,Periventricular white matter damage
hsa_circ_0099999,Pancreatic cancer
hsa_circ_0078715,Gastric cancer
hsa_circ_101882,Gastric cancer
hsa_circ_0000543,Gastric cancer
hsa_circ_0036474,Preeclampsia
circ_0028171,Osteosarcoma
hsa_circ_0000119,Oral squamous cell carcinoma
hsa_circ_24455,Glioblastoma
hsa_circ_0009043,Endometrial cancer
hsa_circ_0007623,Myocardial ischemia
hsa_circ_0001599,Prostate cancer
hsa_circ_0028882,Postmenopausal Osteoporosis
hsa_circ_100338,hepatocellular carcinoma
hsa_circ_0002346,Lung adenocarcinoma
hsa_circ_0010729,Hypoxia-induced cardiomyocyte injuries
hsa_circ_0063517,Preeclampsia
circMAN2B2,Hepatocellular carcinoma
hsa_circ_0006251,Coronary heart disease
hsa_circ_0092222,Proliferative vitreoretinopathy
hsa_circ_0002138,Colorectal cancer
hsa_circ_0088030,Hepatocellular carcinoma
hsa_circ_0005273,Breast cancer
hsa_circ_0000064,Lung cancer
hsa_circ_102336,Bladder cancer
hsa_circ_100777,papillary thyroid carcinoma
hsa_circ_0005540,Multiple system atrophy
circ_0007766,Gastric cancer
hsa_circ_0000615,Gastric cancer
hsa_circRNA3683,Herpes Simplex Virus1 Infection
circHIPK3,Type 2 diabetes mellitus
hsa_circ_0000592,Gastric cancer
hsa_circ_0003288,Hepatocellular carcinoma
circSMARCA5,Colon cancer
hsa_circ_0002360,Lung cancer
circANKS1B,Prostate cancer
CDR1as,Abdominal aortic aneurysm
hsa_circ_0073237,Glioma
ciRS-7,Celebral development
hsa_circ_0056836,Hepatocellular carcinoma
hsa_circ_0059354,Papillary thyroid carcinoma
hsa_circ_0100181,Acute myeloid leukemia
hsa_circRNA_100918,Type 2 diabetes mellitus
circMTO1,Gastric carcinoma
hsa_circ_0103809,Hepatocellular carcinoma
hsa_circ_0000260,Gastric adenocarcinoma
hsa_circ_0001649,Hepatocellular carcinoma
CDR1as/ciRS-7/hsa_circ_0001946,Ovarian cancer
circ_0029426,Glioblastoma
hsa_circ_0001564/hsa_circ_001742,Osteosarcoma
hsa_circ_0103232,Uveal melanoma
circ-ITCH,Osteosarcoma
hsa_circ_051239,Papillary thyroid microcarcinoma
CircUSP36,Atherosclerosis
hsa_circ_103809,Lung cancer
hsa_circ_0004826,Bladder cancer
hsa_circ_0002185,Oral squamous cell carcinoma
hsa_circ_0011946,Breast cancer
hsa_circ_0001910,Breast cancer
hsa_circ_0000119,Ovarian cancer
circATRNL1,Oral squamous cell carcinoma
hsa_circ_0058819,Gastric cancer
circRNA_8840,Preeclampsia
hsa_circ_0001481,Prostate cancer
hsa_circ_0071820,Bladder cancer
hsa_circ_0060428,Osteosarcoma
hsa_circ_0006990,Non-small cell lung cancer
CDR1as,Glioblastoma
hsa_circ_0078602,Hepatocellular carcinoma
hsa_circ_0005224,Nasopharyngeal carcinoma
hsa_circ_0049657,Acute myeloid leukemia
hsa_circ_0072566,Colorectal cancer
circUBAP2,Ovarian cancer
hsa_circ_0108308,Multiple system atrophy
hsa_circ_0125357,Pneumonia
hsa_circ_0003420,Sepsis-induced liver damage
hsa_circRNA_405198,Triple negative breast cancer
circ_0085616,Hepatocellular carcinoma
hsa-circRNA11806-28,Type 2 diabetes mellitus
circ_0000326,Cervical cancer
chr18:35610871-35613502,Intestinal injury and repair
hsa_circ_0004585,Colorectal cancer
circAmotl1/hsa_circ_0004214,Lung cancer
circSMARCA5,Glioblastoma
hsa_circ_0039985,Uterine leiomyoma
circRNA-CDR1as,Osteoarthritis
hsa_circ_0072088,Bladder cancer
hsa_circ_0009543,Melanoma
hsa_circ_0004916,Prostate cancer
hsa_circ_0032463,Osteosarcoma
hsa_circ_0001461,Osteosarcoma
hsa_circ_0000518,Multiple sclerosis
circRNA7535,Esophageal cancer
hsa_circ_0007750,Hepatocellular carcinoma
hsa_circ_0006156,Gastric cancer
hsa_circ_0007334,Prostate cancer
hsa_circ_0004777,Basal cell carcinoma
cZNF609,vascular dysfunction; high glucose and hypoxia stress
hsa_circ_0004811,Hypopharyngeal carcinoma
hsa_circ_104595,papillary thyroid carcinoma
hsa_circ_0017247,Melanoma
hsa_circ_0136959,Cervical cancer
hsa_circ_0001006,Breast cancer
hsa_circ_0000080,Glioblastoma
hsa_circ_0087064,Breast cancer
hsa_circ_0000732/hsa_circ_000220,Breast cancer
hsa_circ_0030055,Diabetes retinopathy
hsa_circ_0023028,Laryngeal cancer
hsa_circRNA_101178,Osteoarthritis
hsa_circ_0001658,Osteosarcoma
hsa_circ_0015879,Tuberculosis
hsa_circ_0082846,Glioma
circCCDC66,Non-small cell lung cancer
hsa_circ_0006873,Osteoporosis
hsa_circ_0014010,Heart failure
hsa_circ_0072391,Endometriosis
hsa_circ_0016347,Osteosarcoma
circTBL1XR1,Colorectal cancer
circPKNOX1,Intervertebral disc disease
hsa_circ_0001162,Glioblastoma
hsa_circ_0049730,Preeclampsia
hsa_circ_001988,Colorectal cancer
hsa_circ_0008139,Hypertension
hsa_circ_0006502/hsa_circRNA_104964,Active pulmonary tuberculosis
circ_0000043,Polycystic ovary syndrome
hsa_circ_0104852,Breast cancer
hsa_circ_0002453,Triple negative breast cancer
hsa_circ_0008274,Papillary thyroid carcinoma
hsa_circ_0037909,Essential hypertension
hsa_circ_0004183,Hepatic steatosis
chr1:95609447–95616975,Acute ischemic stroke
circATP5B,Glioma
hsa_circ_0054537,Renal cell carcinoma
hsa_circRNA_005019,T2DM with depression
circ_0063517,Preeclampsia
hsa_circ_0009634,Breast cancer
hsa_circ_0007255,Breast cancer
hsa_circ_0005239,Non-small cell lung cancer
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Pancreatic cancer
hsa_circ_0051470,Intervertebral disc degeneration
hsa_circ_0029853,Idiopathic pulmonary fibrosis
hsa_circ_0017639,Glioma
hsa_circ_001587,Tuberculosis
hsa_circ_0000677,Breast cancer
hsa_circ_0043813,Postmenopausal osteoporosis
hsa_circ_0116692,Retinoblastoma
hsa_circ_0088442,Laryngeal cancer
circRNA120,Esophageal cancer
hsa_circ_0001874/hsa_circ_001547,Oral squamous cell carcinoma
CircFLNA,Gastric cancer
hsa_circ_0001566/hsa_circ_001168,Glioblastoma
circITGA7,Thyroid cancer
hsa_circ_0008768,Gastric cancer
hsa_circ_0008975,Non-small cell lung cancer
hsa_circ_0076251,Hepatocellular carcinoma
Circ0004390,Ovarian cancer
circEPSTI1,Cervical cancer
circPABPN1,Cervical cancer
hsa_circ_0003645,Non-small cell lung cancer
circ_IFFO2,Cutaneous squamous cell carcinoma
hsa_circ_0000847,Gastric cancer
circ_0005576,Cervical cancer
hsa_circ_0048232,Colorectal cancer
hsa_circRNA_104670,Intervertebral disc degeneration
circCSNK1G1,Colorectal cancer
hsa_circ_0091581,Hepatocellular carcinoma
hsa_circ_0002888,Preeclampsia
circNRIP1,Gastric carcinoma
hsa_circ_0076535,Esophageal cancer
hsa_circ_0109046,Endometrial cancer
hsa_circ_0043278,Glioblastoma
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Colorectal cancer
hsa_circ_0010882,Gastric cancer
hsa_circ_0058919,Steroid-induced osteonecrosis of the femoral head
circ_0095812,Glioma
hsa_circRNA_001275,Esophageal cancer
hsa_circ_100721,Oral squamous cell carcinoma
circ-ITGA7,Colorectal cancer
circBICD2,Oral squamous cell carcinoma
hsa_circ_0008433,Ischemic stroke
hsa_circ_100750,diabetic retinopathy
circ_0074027,Glioblastoma
hsa_circ_0008797,Pulmonary tuberculosis
hsa_circ_0026353,Uterine leiomyoma
hsa_circ_0032683,Gastric cancer
hsa_circ_0079549,Hepatoblastoma
hsa_circ_014724,hepatic steatosis
hsa_circ_0007331,Colon cancer
hsa_circ_100367,esophageal cancer
hsa_circ_0014717,gastric cancer
hsa_circ_0000936,Glioma
circ_081069,Tongue squamous cell carcinoma
hsa_circ_0001742,Glioblastoma
circ_0006404,Esophageal cancer
hsa_circ_0066444,Gastric cancer
circRNA-SORE,Hepatocellular carcinoma
hsa_circ_103809,colorectal cancer
Cznf532,Diabetic retinopathy
hsa_circ_0077837,Lung cancer
hsa_circ_0088344,Pterygium
hsa_circ_0132266,Chronic lymphocytic leukemia
circ_0037655,Glioma
hsa_circ_0093859,Breast cancer
hsa_circ_0007386,Thoracic aortic dissection
hsa_circ_0061276,Gastric cancer
hsa_circRNA_102485,Osteosarcoma
CircEPB41L2,Hepatocellular carcinoma
hsa_circ_0001910,Multiple myeloma
hsa_circ_0003594,Alzheimer's disease
circ_0000735,Prostate cancer
hsa_circ_0008898,Oral squamous cell carcinoma
chr9:80869752–80879232,Acute ischemic stroke
hsa_circ_0005402,multiple sclerosis
hsa_circRNA_104864,Breast cancer
hsa_circ_0016068,Prostate cancer
hsa_circ_0136474,Osteoarthritis
hsa_circ_0007694,Papillary thyroid carcinoma
circCDYL,Lung cancer
hsa_circ_0004136,Acute myeloid leukemia
hsa_circ_0010575,Colon cancer
hsa_circ_0001615,Oral squamous cell carcinoma
CircSMYD4,Hepatocellular carcinoma
CircZNF609,Nasopharyngeal carcinoma
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Osteosarcoma
hsa_circ_0000257,Pancreatic cancer
hsa_circ_0066779,Gastric cancer
hsa_circ_0027446,Abdominal aortic aneurysm
hsa_circ_0001189,Hypopharyngeal carcinoma
circ_UBXN7,Liver cancer
hsa_circ_0099188,Pneumonia
hsa_circ_0043138,Tongue squamous cell carcinoma
chr16:53175091-53191453,Ovarian cancer
hsa_circ_103017,Tuberculosis
circ_0006404,Breast cancer
hsa_circ_0003028,Liver cancer
circRNA9671,Esophageal cancer
hsa_circRNA_104078,Non-obstructive azoospermia
circMYLK,Laryngeal squamous cell carcinoma
hsa_circ_0001212/hsa_circ_001886,Cervical cancer
hsa_circ_0003922,Lupus nephritis
hsa_circ_0000026,Gastric cancer
hsa_circ_0001946,Nasopharyngeal carcinoma
hsa_circ_0129276,Neuroblastoma
hsa_circ_0026070,Encephalitis
hsa_circ_0000061,Proliferative diabetic retinopathy
hsa_circRNA_001729,Thyroid cancer
hsa_circ_0000030,Ovarian cancer
circRNA7537,Esophageal cancer
hsa_circ_0008717,Thyroid cancer
circRNA-012091,Silicosis
hsa_circ_0049487,Colorectal cancer
hsa_circ_0043951,Papillary thyroid carcinoma
hsa_circRNA_0003218,Breast cancer
hsa_circ_0001667/hsa_circ_001717,Breast cancer
hsa_circ_0063809,Gastric cancer
circRNA5430,Lung cancer
hsa_circ_0062270,Melanoma
circ_MYO9B,Temporal Lobe Epilepsy
hsa_circ_0000700,Tuberculosis
circ-0000745,Acute lymphoblastic leukemia
hsa_circRNA_7070,Breast cancer
hsa_circ_0001649,hepatocellular carcinoma
circCRIM1,Osteosarcoma
hsa_circ_0002874,Breast cancer
hsa_circ_0029696,Medulloblastoma
CDR1as,Cervical cancer
CDR1as/ciRS-7/hsa_circ_0001946,Laryngeal cancer
hsa_circ_0000284/circHIPK3,Osteoarthritis
hsa_circ_405571,Papillary thyroid microcarcinoma
hsa_circ_0006461,Renal cell carcinoma
hsa_circ_0000284/circHIPK3,Gallbladder cancer
circ_ARL3,Hepatitis B
circCCNB1,colon cancer
circPCNX,Cervical carcinoma
circRNA-0044073,Atherosclerosis
hsa_circ_0003928,Diabetic nephropathy
circZKSCAN1,hepatocellular carcinoma
circZNF652,Pneumonia
hsa_circ_0003972,Rheumatoid arthritis
hsa_circ_0135718,Hepatocellular carcinoma
hsa_circ_0001824,Breast cancer
hsa_circ_0078738,Hepatocellular carcinoma
hsa_circ_0037515,Non-small cell lung cancer
hsa_circ_0005239,Triple negative breast cancer
hsa_circ_0000218,Laryngeal squamous cell carcinoma
circHIPK3,Cervical cancer
CDR1as/ciRS-7/hsa_circ_0001946,Colorectal cancer
hsa_circ_0005480,Keloid
hsa_circRNA_404686,Thyroid cancer
hsa_circRNA_100160,Nasopharyngeal carcinoma
hsa_circ_0060745,Colorectal cancer
hsa_circ_0066659,Hepatocellular carcinoma
circ_0067934,Non-small cell lung cancer
hsa_circ_0025129,Hepatocellular carcinoma
circGSE1,Cervical cancer
hsa_circ_104821,breast cancer
hsa_circ_047771,Papillary thyroid carcinoma
circ_0005273,Breast cancer
circ_0085616,Gastric cancer
hsa_circRNA_104168,Hepatocellular carcinoma
hsa_circ_0068610,Gastric cancer
circ_0001742,Tongue squamous cell carcinoma
circ_ITCH,Prostate cancer
hsa_circ_0015288,Pterygium
has_circ-0012129,Glioma
hsa_circ_0000284/circHIPK3,Cholangiocarcinoma
hsa_circ_0043138,Infantile hemangioma
ciRS-7,Heart failure
hsa_circ_0100213,Breast cancer
hsa_circ_0000284/circHIPK3,Breast cancer
circ-ABCB10,Thyroid cancer
hsa_circ_0058058,Esophageal cancer
hsa_circ_0000646,Breast cancer
hsa_circ_0000517,Pancreatic cancer
hsa_circ_0005402,Multiple sclerosis
hsa_circ_0005654,Postmenopausal osteoporosis
hsa_circ_102913,esophageal cancer
hsa_circ_0123190,Lupus nephritis
hsa_circ_0008362,Glioblastoma
circRNA_7,Breast cancer
CircDLC1,Hepatocellular carcinoma
hsa_circ_0001979,Osteoarthritis
CircSKA3,Medulloblastoma
hsa_circ_0014879,radioresistant esophageal cancer cells
hsa_circ_0001178,Colorectal cancer
circCUX1,Neuroblastoma
circHIPK3,Acute pancreatitis
hsa_circ_29892,Small cell lung cancer
hsa_circ_089763,triple negative breast cancer
circ_SATB2,Non-small cell lung cancer
hsa_circ_0075828,basal cell carcinoma
hsa_circ_0003204,atherosclerosis
circSKA3,Breast cancer
hsa_circ_0023826,Glaucoma
hsa_circ_0003738,Psoriasis
hsa_circ_103047,Rheumatoid arthritis
hsa_circRNA_101458,Cholesteatoma
CircKIF2A,Neuroblastoma
hsa_circ_0087862,Colorectal cancer
hsa_circ_0109291,Oral squamous cell carcinoma
circRNA_100876,Osteosarcoma
hsa_circ_0061868,Glioblastoma
hsa_circ_0044529,Laryngeal cancer
hsa_circ_0039569,Renal cell carcinoma
hsa_circ_001349,Lupus Nephritis
circHIPK2,Neuroinflammatory disorders
hsa_circ_0067835,Endometrial carcinoma
hsa_circ_001066,gastric cancer
hsa_circ_0007701,Colorectal cancer
circRNA6783,Lung cancer
hsa_circ_0001275/hsa_circ_000361,Postmenopausal Osteoporosis
hsa_circRNA_001959,Gastric cancer
circ_0002483,Acute myeloid leukemia
hsa_circ_0003998,Non-small cell lung cancer
hsa_circ_0000615,Heart failure
circBC048201 ,Bladder cancer
circ_0057553,Prostate cancer
hsa_circ_405679,triple negative breast cancer
hsa_circ_0049663,Renal cell carcinoma
hsa_circ_0055408,Renal cell carcinoma
hsa_circRNA_103571,Tuberculosis
hsa_circ_0000467,Colorectal cancer
hsa_circ_0006117,Bladder cancer
BCRC-3,Bladder cancer
hsa_circ_0006282,Gastric cancer
circUBAP2,Osteosarcoma
hsa_circ_0001445,Non-small cell lung cancer
hsa_circ_0000429,Non-small cell lung cancer
hsa_circ_0023110,Hepatoblastoma
hsa_circ_0001283,Breast cancer
hsa_circ_000334,Steroid-induced osteonecrosis of the femoral head
hsa_circ_0031250,Non-small cell lung cancer
hsa_circ_0002623,Non-small cell lung cancer
chr4:147227078-147230127,Ovarian cancer
hsa_circ_0070269,Hepatocellular carcinoma
hsa_circ_0086241,Breast cancer
hsa_circ_0076304,Gastric cancer
hsa_circ_001988/hsa_circ_0001451,Colorectal cancer
circErbB4,Vascular disease
circZFP57,Prostate cancer
circ_0075538,Prostate cancer
circ_0076305,Non-small cell lung cancer
hsa_circ_0126991,Essential hypertension
hsa_circ_0092221,Intervertebral disc degeneration
hsa_circ_0004058,Age-related cataract
hsa_circ_0003949,Glioblastoma
hsa_circ_0000638,Inflammation
hsa_circ_0001543,Bladder cancer
hsa_circ_0004623,Triple negative breast cancer
hsa_circ_0007031/hsa_circ_0000504,Colorectal cancer
hsa_circ_0008285,Lung cancer
hsa_circ_0000700,Esophageal cancer
hsa_circ_0002908,Pulmonary tuberculosis
circASAP1,Glioblastoma
cZNF292,Liver cancer
hsa_circ_0056048,Major depressive disorder
hsa_circ_0000268,Glaucoma
hsa_circ_0002346,Nasopharyngeal carcinoma
circ-FOXP1,Hepatocellular carcinoma
hsa_circ_0021254,Diabetic nephropathy
hsa_circ_0004264,atherosclerosis
hsa_circ_01844,Glioblastoma
hsa_circ_101852,intervertebral disc degeneration
hsa_circRNA_100086,Osteoarthritis
hsa_circ_0040039,Gastric cancer
circ_100395,papillary thyroid carcinoma
hsa_circ_0027599,Gastric cancer
hsa_circ_0087212,Tongue squamous cell carcinoma
circCCDC66,Pancreatic cancer
hsa_circ_0043688,Keloid
circCLK3,Tongue squamous cell carcinoma
hsa_circ_001430,Chronic lymphocytic leukemia
hsa_circ_0058097,Gastric cancer
Circ_0056285,Osteosarcoma
hsa_circ_0099476,Heart failure
hsa_circ_005086,Tuberculosis
circ-LARP4,Osteosarcoma
hsa_circ_0025454,Pterygium
circCBFB,Abdominal aortic aneurysm
circGFRA1,Ovarian cancer
hsa_circ_0057799,Endometriosis
circAKT3,Esophageal cancer
hsa_circ_0069718,Triple negative breast cancer
hsa_circ_007850,hepatic steatosis
circAmotl1/hsa_circ_0004214,Prostate cancer
Circ-PRMT5,Non-small cell lung cancer
CircNEIL3,Pancreatic ductal adenocarcinoma
circPCNX,Clear cell renal cell carcinoma
ciRS-7,Glioblastoma
hsa_circ_0033144,Intracranial aneurysm
hsa_circ_0036722,Laryngeal cancer
hsa_circ_0003288,Non-small cell lung cancer
hsa_circ_0069767,Multiple myeloma
hsa_circ_104433,papillary thyroid carcinoma
hsa_circ_0008274,Cholangiocarcinoma
hsa_circ_0000615,Diabetic retinopathy
circ-104075,Glioma
hsa_circ_0031979,Gastric cancer
hsa_circRNA_000367,Hepatic steatosis
hsa_circ_0000284,Renal cell carcinoma
hsa_circ_0007031/hsa_circ_0000504,Osteosarcoma
hsa_circ_0005214,Breast cancer
hsa_circ_0006988,Non-small cell lung cancer
hsa_circ_0087215,Diabetes retinopathy
hsa_circ_0087206,Diabetes retinopathy
hsa_circ_0000502,Hepatocellular carcinoma
hsa_circ_0008574,Atherosclerosis
hsa_circ_0062705,Colon cancer
circSLCO4A1,Prostate cancer
hsa_circ_0002320,Gastric cancer
hsa_circRNA_089763,Triple negative breast cancer
hsa_circ_0072304,Breast cancer
circ-TCF4.85,Hepatocellular carcinoma
circMYLK,Renal cell carcinoma
hsa_circ_0009024,Proliferative vitreoretinopathy
hsa_circRNA_102713,Gastric cancer
hsa_circ_0006323,Coronary artery disease
circ_ITCH,Gastric cancer
hsa_circ_0000284,Hyperglycemia
hsa_circ_0004771,Cutaneous squamous cell carcinoma
hsa_circ_0003456,Prostate cancer
hsa_circ_0104873,Osteoarthritis
hsa_circ_0044556,Gastric cancer
hsa_circ_0001073,Bladder cancer
hsa_circ_0092012,Laryngeal cancer
hsa_circ_0000423,Colon cancer
hsa_circ_0017949,Breast cancer
hsa_circ_0001724,Colon cancer
hsa_circ_0000284,Bladder urothelial carcinoma
hsa_circ_103571,Tuberculosis
hsa_circ_0000896,Bladder cancer
hsa_circ_0001259/hsa_circ_001509,Breast cancer
hsa_circ_0057481,Laryngeal cancer
hsa_circ_0018665,Hepatocellular carcinoma
hsa_circ_0090956,Glioblastoma
hsa_circRNA_104980,Osteosarcoma
hsa_circ_0004458,Gastric cancer
hsa_circRNA_659,Breast cancer
hsa_circ_005019,depression
circKIF4A,Ovarian cancer
hsa_circ_0137084,Cervical cancer
hsa_circ_0131235,Alzheimer's disease
circ_0006404,Myocardial senescence
hsa_circ_0024093,Acute kidney injury
hsa_circ_0006220,Pancreatic cancer
circHIF1A,Triple negative breast cancer
hsa_circ_0001546,Gastric cancer
hsa_circ_062400,Tuberculosis
hsa_circ_0003915,Coronary heart disease
circHIPK3,Oxidative injury
hsa_circ_100721,Colorectal cancer
circ_0008305,intervertebral disc degeneration
circSPATA6,Oral squamous cell carcinoma
circRNA‑CER,Breast cancer
hsa_circ_104084,Pancreatic cancer
circRNA_7,Atrial fibrillation
hsa_circ_0023642,Bladder cancer
hsa_circ_0013339,Acute myeloid leukemia
circRNA9652,Esophageal cancer
CDR1as/ciRS-7/hsa_circ_0001946,Glioblastoma
hsa_circ_0013745,Chronic myeloid leukemia
hsa_circ_0008717,Breast cancer
hsa_circ_0092316,Inflammatory response
circ_0000003,Non-small cell lung cancer
hsa_circ_104194,rheumatoid arthritis
circCCDC66,Osteosarcoma
hsa_circ_0008365,Gastric carcinoma
hsa_circRNA_102101,Tuberculosis
hsa_circ_0075804,Retinoblastoma
circANRIL,melanoma
hsa_circ_0000615,Vascular endothelial dysfunction
hsa_circ_0008732/hsa_circRNA_104738,Basal cell carcinoma
hsa_circ_0007609,Multiple myeloma
hsa_circ_0088233,Prostate cancer
hsa_circ_0000284/circHIPK3,Coronary heart disease
Circ_0015756,Ovarian cancer
circ_0067934,Esophageal squamous cell carcinoma
hsa_circ_0001821,Esophageal carcinoma
hsa_circ_0005280,Age-related cataract
CircAGFG1,Colorectal cancer
hsa_circ_0031250,Bladder cancer
hsa_circ_0113689,Osteogenesis
circRNA-9119,Osteoarthritis
hsa_circ_0006766,Postmenopausal Osteoporosis
hsa_circ_0005505,Hepatocellular carcinoma
circ_0014717,Colorectal cancer
circ_0067934,Lung adenocarcinoma
hsa_circ_0005941,Proliferative diabetic retinopathy
hsa_circ_0023404,Osteoarthritis
hsa_circ_0097636,Polycystic ovary syndrome
hsa_circ_0023956,Active pulmonary tuberculosis
circPABPN1,cervical carcinoma
hsa_circ_0000345,atherosclerosis
hsa_circ_0016418,Skin melanoma
hsa_circ_0017446,Acute myeloid leukemia
circRNA_104670,Intervertebral disc degeneration
hsa_circ_0050707,Papillary thyroid carcinoma
circ_0014130,Colon cancer
hsa_circ_0090876,Acute myocardial infarction
hsa_circ_0075829,Basal cell carcinoma
hsa_circ_0101187,Breast cancer
hsa_circ_0062582,Osteoporosis
hsa_circRNA_004183,Congenital heart disease
Circ_0105346,Osteosarcoma
circTRAPPC6B,Tuberculosis
hsa_circ_0092012,Laryngeal squamous cell carcinoma
circ-NOTCH1,Gastric cancer
hsa_circ_0004018,Hepatocellular carcinoma
hsa_circ_0061140,Endometrial carcinoma
hsa_circ_104718,Hepatocellular carcinoma
hsa_circ_103809,Gastric cancer
hsa_Circ_0007841,Multiple myeloma
hsa_circ_0136666,Osteosarcoma
circZFR,Papillary thyroid carcinoma
hsa_circ_0002837,Tongue squamous cell carcinoma
hsa_circ_0001313,Gastric cancer
hsa_circ_006352,Ovarian cancer
hsa_circ_0079471,Gastrointestinal stromal tumour
circ_0023642,Bladder cancer
hsa_circ_0012346,Nonfunctioning pituitary adenomas
hsa_circ_00026,Non-small cell lung cancer
hsa_circ_0058107,Hypopharyngeal squamous cell carcinoma
circATXN10,cardiovascular disease
Circ_0023028,Laryngeal squamous cell carcinoma
hsa_circ_0128332,Lung adenocarcinoma
hsa_circ_0134944,Osteoporosis
circMAN1A2,Nasopharyngeal carcinoma
hsa_circ_0051240,Ovarian cancer
hsa_circRNA_404686,Repeated implantation failure
hsa_circ_0000651,Multiple myeloma
hsa_circ_0087378,Esophageal squamous cell carcinoma
circ-ABCB10,Breast cancer
circ_0006404,Senescence
circHIAT1,Hepatocellular carcinoma
circ_0000231,Atherosclerosis
hsa_circ_0000177,Glioblastoma
circ-Foxo3,Bladder cancer
hsa_circ_0003159,Gastric cancer
hsa_circ_0072083,Non-small cell lung cancer
hsa_circ_0018401,Periventricular white matter damage
hsa_circ_0001946,Esophageal cancer
hsa_circ_0015295,Pterygium
hsa_circ_101303,Bladder cancer
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Cervical cancer
circ_0007534,Pancreatic ductal adenocarcinoma
hsa_circ_0001666/hsa_circ_000742,Papillary thyroid carcinoma
hsa_circ_0078710,Hepatocellular carcinoma
circRNA_141539,Esophageal squamous cell carcinoma
hsa_circ_0068087,type 2 diabetes mellitus
hsa_circ_0040823,Bladder cancer
Circ-ZEB1.33,Hepatocellular carcinoma
hsa_circ_0010283,Atherosclerosis
hsa_circ_0005795/hsa_circRNA_100823,Breast cancer
hsa_circRNA_104169,Triple negative breast cancer
hsa_circ_0006109,Atrial fibrillation
hsa_circ_0023984,Clear cell renal cell carcinoma
hsa_circ_0000853,Oral mucosal melanoma
hsa_circ_0012342,Mucoepidermoid carcinoma
hsa_circ_0008193,Lung cancer
hsa_circ_0005442,Preeclampsia
hsa_circ_104871,rheumatoid arthritis
circPTK2,Bladder cancer
hsa_circ_0012129,Glioblastoma
hsa_circ_0002168,Breast cancer
hsa_circ_0000199,Gastric cancer
circRNA7,Hepatocellular carcinoma
circ_0014130,Glioblastoma
hsa_circ_0005100,Colorectal cancer
hsa_circ_0001175,Breast cancer
hsa_circ_0018293,breast cancer
hsa_circ_0085553,gastric cancer
hsa_circ_0000181,Gastric cancer
hsa_circ_0001946,Cholangiocarcinoma
hsa_circ_0031594,Clear cell renal cell carcinoma
circ-RNF13,Hepatocellular carcinoma
hsa_circ_0072359,Hepatoblastoma
hsa_circ_0037128,Diabetic nephropathy
hsa_circ_001569,Non-small cell lung cancer
hsa_circ_0000994,Bladder cancer
hsa_circ_0001946,Breast cancer
hsa_circ_0052372,Primary Biliary Cholangitis
circSCMH1,Acute ischemic stroke
hsa_circ_0006022,gastric cancer
hsa_circ_0006916,Hepatocellular carcinoma
hsa_circ_0000896,Pancreatic cancer
hsa_circ_0003258,Intervertebral disc degeneration
circ_LDLR,Papillary thyroid carcinoma
hsa_circ_0000042,Non-small cell lung cancer
hsa_circ_0088036,Rheumatoid arthritis
circFANCL,Glioma
hsa_circ_0067934,Glioblastoma
hsa_circ_0140388,Colorectal cancer
hsa_circ_0002968,Glioblastoma
hsa_circ_0006892,Chronic obstructive pulmonary disease
hsa_circ_0005360,Abdominal aortic aneurysm
hsa_circ_0002483,Non-small cell lung cancer
hsa_circ_104820,pre-eclampsia
hsa_circ_0001895,gastric cancer
circ-ZDHHC5,Esophageal squamous cell carcinoma
circTUBD1,Radiation-induced liver disease
hsa_circ_0025933,Esophageal cancer
hsa_circ_0008951,Ovarian endometriosis
hsa_circ_0040705,Systemic lupus erythematosus
hsa_circ_0002483,Acute myeloid leukemia
hsa_circ_0000831/hsa_circ_001089,Glioblastoma
hsa_circ_0075825/hsa_circRNA_104081,Basal cell carcinoma
hsa_circ_0001907,Major depressive disorder
hsa_circ_0000735,Prostate cancer
hsa_circ_0032970,Coronary artery disease
Circ_0091579,Hepatocellular carcinoma
hsa_circ_0052112,Breast cancer
circLARP4,gastric cancer
CircDDX17,Colorectal cancer
circ_CCT4,Temporal Lobe Epilepsy
hsa_circ_0005779,Glioblastoma
circVAPA ,Retinoblastoma
hsa_circ_0000745,Cervical cancer
hsa_circ_0001522,Lung adenocarcinoma
circRNA4406,Lung cancer
hsa_circ_0002346,Lung cancer
